interest,registration,vote_2016,vote_intention,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,state,congress_district,language,vote_biden,age_group,race,education_level,stateicp
Some of the time,Not registered,"Did not vote, but was eligible","No, I am not eligible to vote",Conservative,Retired,The United States,female,South,hispanic,Some other race,"Less than $50,000",FL,FL01,"Yes, we speak Spanish.",1,age_45-59,"other race, nec",High school or less,florida
Some of the time,Registered,Donald Trump,"Yes, I already voted",Very Conservative,Retired,The United States,female,Midwest,not hispanic,White,"Less than $50,000",MN,MN07,"No, we speak only English.",0,age_45-59,white,Graduate degree,minnesota
Only now and then,Registered,Donald Trump,"Yes, I will vote",Conservative,Homemaker,The United States,female,South,not hispanic,White,"$50,000 to $99,999",LA,LA04,"No, we speak only English.",0,age_45-59,white,High school or less,louisiana
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Very Liberal,Part-time employed,The United States,female,Northeast,not hispanic,White,"Less than $50,000",NY,NY10,"No, we speak only English.",1,age_18-29,white,Post secondary or higher,new york
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Liberal,Self-employed,The United States,female,South,not hispanic,White,"$50,000 to $99,999",AL,AL06,"No, we speak only English.",1,age_60_or_more,white,Post secondary or higher,alabama
Some of the time,Registered,Donald Trump,"Yes, I will vote",Moderate,Unemployed or temporarily on layoff,The United States,female,Northeast,not hispanic,White,"$50,000 to $99,999",NJ,NJ02,"No, we speak only English.",0,age_45-59,white,Post secondary or higher,new jersey
Most of the time,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Retired,The United States,male,South,not hispanic,White,"$100,000 to $149,999",AL,AL06,"No, we speak only English.",0,age_60_or_more,white,Post secondary or higher,alabama
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Moderate,Full-time employed,The United States,female,Midwest,not hispanic,"Black, or African American","$50,000 to $99,999",KS,KS03,"No, we speak only English.",1,age_45-59,black,Graduate degree,kansas
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Moderate,Part-time employed,The United States,male,South,not hispanic,White,"Less than $50,000",FL,FL06,"No, we speak only English.",0,age_60_or_more,white,Some post secondary,florida
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Moderate,Retired,The United States,female,Midwest,not hispanic,White,"Less than $50,000",WI,WI05,"Yes, we speak a language other than Spanish or English.",1,age_60_or_more,white,Some post secondary,wisconsin
